countrycode,country,year,rgdpe,emp,hc,rkna
THA,"Thailand",2006,675163.375,36.6571273803711,2.42337465286255,2811867.25
THA,"Thailand",2007,736886.125,37.1430244445801,2.4550895690918,2918652.75
THA,"Thailand",2008,760027.25,37.7979927062988,2.48721981048584,3025245
THA,"Thailand",2009,786084.8125,38.3826789855957,2.51977038383484,3093072.5
THA,"Thailand",2010,874265.375,38.6410903930664,2.55274677276611,3188433.5
THA,"Thailand",2011,912006.9375,39.0427360534668,2.57983827590942,3291630.75
THA,"Thailand",2012,977983.875,39.5282173156738,2.60525345802307,3417899.5
THA,"Thailand",2013,946761.9375,39.723217010498,2.63137722015381,3530017.5
THA,"Thailand",2014,945941.5,38.8933067321777,2.65823411941528,3622972.75
TWN,"Taiwan",1951,12769.1416015625,2.90867137908936,1.45118296146393,32345.0234375
TWN,"Taiwan",1952,14499.5361328125,3.07001614570618,1.46479260921478,32776.0703125
TWN,"Taiwan",1953,16000.90625,3.14897084236145,1.47852993011475,33693.47265625
TWN,"Taiwan",1954,17222.712890625,3.2406587600708,1.49239599704742,34676.98828125
TWN,"Taiwan",1955,18603.275390625,3.27739262580872,1.50639224052429,35303.87109375
TWN,"Taiwan",1956,19382.57421875,3.23851799964905,1.52202343940735,36266.8828125
TWN,"Taiwan",1957,20887.2578125,3.26165127754211,1.53781688213348,37148.80859375
TWN,"Taiwan",1958,22238.9375,3.25813031196594,1.55377423763275,38381.984375
TWN,"Taiwan",1959,23831.1015625,3.27023816108704,1.56989717483521,40159.65234375
TWN,"Taiwan",1960,25781.3203125,3.24262094497681,1.5861873626709,42459.8515625
TWN,"Taiwan",1961,27500.6484375,3.36083269119263,1.59210324287415,44858.46875
TWN,"Taiwan",1962,30087.01953125,3.47482252120972,1.59804105758667,47191.7734375
TWN,"Taiwan",1963,34097.6796875,3.59687948226929,1.60400104522705,50175.93359375
TWN,"Taiwan",1964,38613.95703125,3.64268255233765,1.60998320579529,53398.09765625
TWN,"Taiwan",1965,41526.55078125,3.66716146469116,1.61598765850067,58011.28515625
TWN,"Taiwan",1966,45889.3984375,3.76088905334473,1.62390124797821,64093.0625
TWN,"Taiwan",1967,50668.86328125,3.96204900741577,1.63185358047485,71718.4453125
TWN,"Taiwan",1968,55758.73046875,4.1058349609375,1.63984489440918,81011.15625
TWN,"Taiwan",1969,61968.6796875,4.34643220901489,1.64787530899048,91166.2265625
TWN,"Taiwan",1970,69099.28125,4.59204196929932,1.65594506263733,103055.515625
TWN,"Taiwan",1971,78712.21875,4.75443840026855,1.67161536216736,118009.171875
TWN,"Taiwan",1972,90668.5703125,4.96512460708618,1.68743395805359,135559.828125
TWN,"Taiwan",1973,100607.796875,5.34462118148804,1.70340216159821,154341.234375
TWN,"Taiwan",1974,95730.265625,5.49742937088013,1.71696305274963,175241.546875
